Feature,VIF
age,10.296220655257182
health,9.304914262615805
marital,8.469922349998976
gender,8.378519908563023
edu,3.843988589369631
floorArea,2.6693255404962497
workStatus,1.6186329759511995
familyIncome,1.0780299112108223
income,1.037823090623645
